%Mg,%Al,%Si,%S,%K,%Ca,%Ti,%Mn,%Fe,Quartz,Dolomite,Illite,Calcite,Gypsum,Microclin,Albite,Pyrite,Kaolinite
0.9141,0.0057,1.8154,0.3104,0.0853,36.5702,0.0121,0.0137,0.7389,0.8,3.7,4.3,66.5,7,3.9,2.9,7.4,3.4
0.5026,0.1144,2.0671,0.4084,0.115,36.0977,0.019,0.0138,0.8153,1,6.7,4.1,64.1,5.2,4.4,4.4,6.5,3.8
0.829,0.0542,1.8963,0.2386,0.1019,36.2086,0.0154,0.0136,0.8196,1.9,5.9,5.2,62.1,6,5.4,4.8,5.1,3.7
1.5953,0.1127,2.2641,0.1964,0.1643,35.1416,0.0181,0.0137,0.8398,2.6,7.1,2.9,62.9,7.1,4.2,6,4.4,2.7
0.3951,0.229,2.6243,0.2278,0.1897,34.3772,0.0218,0.0138,0.7486,2,6.6,4.1,64,4.9,3.8,3.3,6.5,4.9
1.0237,0.0291,1.8639,0.2285,0.0946,37.7067,0.0145,0.0136,0.741,1.3,4.7,5.1,61.3,5.4,5.4,4.8,6.9,5.2
0.41,0.1238,2.2655,0.2589,0.1381,35.3962,0.0214,0.0137,0.809,1.6,3.7,4.8,64.6,6.9,5,4.4,4,4.9
1.1026,0.1968,2.4654,0.1824,0.1631,35.7951,0.0201,0.0138,0.7567,2.2,6.2,6,59,6.6,4.6,4.1,6.6,4.5
9.5171,0.35,2.6991,0.5409,0.2324,25.6812,0.0388,0.0144,1.1483,1.8,41.2,4,30.3,5.3,3.8,3.7,6.2,3.7
1.9032,0.0566,1.9964,0.1607,0.1301,37.9393,0.0175,0.0135,0.6388,1.9,7.6,4,61.4,6.7,5.4,3.7,5.6,3.7
1.4286,0.2127,2.2285,0.2393,0.1367,35.754,0.0163,0.0138,0.7672,2,5,3.6,65.9,6.6,5.1,4,3.4,4.5
1.1353,0.1434,2.1824,0.1877,0.1372,36.8116,0.0152,0.0136,0.7492,1.9,6.5,6.3,61.6,5.6,5.4,4.8,3.7,4.2
2.0662,0.1168,2.0307,0.3246,0.1251,35.4679,0.0109,0.0138,0.7903,1.6,11.2,3.8,58.6,5.7,6.3,4.6,4.8,3.5
6.6047,0.2223,2.3963,0.2756,0.1522,28.7839,0.0235,0.0144,0.89,1.5,31.7,3,41.1,4.4,4.4,4.6,5.4,3.8
10.6513,0.1793,2.2802,0.4055,0.1368,25.5971,0.0288,0.0153,0.8013,1.8,55.7,2.7,23.4,4.1,2.3,3,3.6,3.4
9.0597,0.2347,2.8053,0.5715,0.1808,22.8701,0.0298,0.0153,0.9997,2,57.6,2.8,19.3,3.8,3.5,3.1,4.9,3.1
7.949,0.4441,2.8796,0.4209,0.2502,26.1569,0.033,0.0151,0.8741,1.7,43.1,2.9,33.5,4.2,3.1,3.2,5.5,2.7
0.1631,0.1401,2.3023,0.2546,0.1401,35.305,0.0219,0.0136,0.76,1.8,6.3,4.5,60.3,7.7,4.7,6.3,4.8,3.6
7.8221,0.9068,4.867,0.7047,0.4356,23.9515,0.0665,0.0154,0.9595,3,44.6,3.9,29.1,4.1,3.2,4.1,3.4,4.8
3.2126,1.9275,9.9272,0.3871,0.5012,22.4886,0.1379,0.0158,1.9235,11,17.6,3.3,50,5.7,2.9,3.9,3.5,2.1
2.0848,1.9187,7.5481,0.4055,0.6241,22.211,0.1146,0.0147,2.1341,3.2,4.7,3.3,70.6,5.2,3.4,2.5,3.6,3.5
5.4348,1.1856,5.912,0.4539,0.4576,23.6234,0.0958,0.0144,2.8308,1.9,5.3,3.9,69.4,4.3,3.2,4.8,4.2,3
0.0791,0.4348,3.2836,0.5105,0.2351,32.9515,0.0321,0.0133,0.9877,2.1,5.8,3.8,68,5.3,3.3,4.1,4.2,3.4
0,1.0871,4.1548,0.243,0.3043,33.3673,0.0387,0.0137,0.8866,2.7,3.4,3.9,70.6,5.1,4.1,3.5,4.2,2.4
2.1177,2.7298,9.8617,0.9147,0.8835,20.7874,0.1535,0.0149,2.2683,8.4,25.6,3.6,43.4,5.6,3.8,2.6,4.4,2.6
0,0.3749,3.6924,0.2276,0.2438,34.8583,0.0395,0.0139,0.7806,3.1,4.6,3.1,70.6,4.6,4.7,3.1,4.3,1.8
2.5983,4.45,23.2153,1.0531,1.2602,11.9563,0.2913,0.0197,2.2521,31.1,17.4,4.5,23.2,8.2,4.8,4.2,3.7,2.8
2.1208,4.4655,16.5964,0.6294,1.3334,15.486,0.2357,0.0175,2.3012,4.8,4,2.6,72.6,4,2.8,3.7,3.5,1.9
1.1369,7.4578,27.6666,1.4184,2.4146,3.6541,0.4406,0.0229,2.3444,35.2,22.3,6.4,12.5,7.4,5.4,3.6,4.2,3
1.5062,7.1464,29.5244,1.3807,2.114,5.9337,0.373,0.0217,2.0215,18.9,28.3,6.9,20,7.1,6.5,4.5,5.3,2.5
2.4848,7.1173,20.1731,0.8184,2.1326,9.9483,0.3295,0.0193,2.8305,22.5,24.4,8.2,21.2,6.6,5.9,2.8,4.5,3.7
0,0.499,4.5221,0.3817,0.315,30.2821,0.0391,0.0141,0.9428,3.4,4.3,5.4,64.4,5.6,4.9,3.9,5.9,2.1
0.9795,7.7323,25.4875,0.9061,2.8174,5.7079,0.4184,0.0214,2.1964,28.9,13,10.5,15.9,9.8,6.7,4.7,6.8,3.8
1.7006,6.3983,21.8989,0.9114,2.6375,9.5486,0.3278,0.0192,2.4435,29.8,11.1,10.9,17.6,9,9,3.8,6,2.8
2.1148,7.2178,22.1578,1.019,2.7806,7.2879,0.3875,0.0188,2.9069,12.4,24.4,8.1,32,7,5.2,3,5.4,2.5
2.8723,5.0908,17.5503,0.9813,1.9492,12.7111,0.2959,0.0172,2.6802,14.8,26.6,6.5,27.4,6.4,5.1,3.5,5.3,4.4
3.2198,2.2999,11.4795,0.9158,0.9076,19.5922,0.1333,0.0147,2.4775,2.9,3.8,4.3,66.2,5.5,3.7,5.2,3.9,4.4
1.4462,5.377,23.3763,1.21,2.0817,9.6648,0.307,0.019,2.362,19.3,16.6,7.1,30.3,7.7,6.6,3.3,5.4,3.7
1.7405,4.0292,17.9157,1.3473,1.6308,12.6697,0.2512,0.0179,2.4114,27.9,14.6,6.1,29.6,8.1,3.2,2.4,5.3,2.8
2.7019,5.7146,19.7981,0.7617,2.1906,10.2887,0.293,0.0185,2.9841,19.3,23.1,10.5,18.2,10.4,6.6,3.3,5.4,3.1
1.3935,6.6688,25.5415,2.0268,2.785,4.727,0.3489,0.0203,2.8168,15.1,25.4,9.3,23.1,7.8,6.3,4.6,4.8,3.5
1.4065,4.2727,15.3323,0.6835,1.8663,13.063,0.2394,0.0176,2.7581,17.3,25.3,7.6,25.9,8.2,5.2,2.4,4.8,3.3
1.1049,6.248,25.483,1.182,2.8828,6.6428,0.3286,0.0205,2.3997,31.6,11.8,7.9,17.3,10.6,7.1,4.3,5.1,4.2
0.1171,1.8256,7.9022,0.829,0.8574,28.5462,0.0736,0.0146,1.1036,6,4.9,4.2,65.2,5.7,5,3.4,4,1.7
1.2921,2.1969,10.3529,0.8309,1.1061,22.1343,0.1292,0.015,1.6438,10.1,13.3,4.1,49.7,7.4,5.8,3.4,3.6,2.5
1.9354,2.5936,11.3168,1.2064,1.5558,21.9182,0.1246,0.0156,1.6945,8,13.5,6.1,50.8,7,4.9,4.4,3.6,1.7
1.7114,2.6114,13.1798,1.2314,1.4372,19.4177,0.1238,0.0163,1.6922,9.3,18,4,47.3,5.4,5.6,1.6,4.8,4
2.363,3.318,11.1802,1.3696,1.7677,22.6136,0.1587,0.0153,1.8204,5.3,15.1,4.5,54.7,6.1,5.3,2.4,3.9,2.8
2.3324,3.5695,11.28,1.2268,1.6482,21.5518,0.1733,0.0145,1.7138,6.4,9,4.4,52.6,8.1,5.2,4.1,7.5,2.7
1.4536,3.0492,10.0488,1.0141,1.5026,24.5674,0.1577,0.0151,1.5294,5.5,8.9,4.6,55.1,7.5,4.3,4.3,5.6,4.2
0.9495,3.2746,11.6263,1.1619,1.5488,23.0035,0.1487,0.0151,1.5311,7.2,9,5.4,52.5,8,4.1,3.2,7,3.6
1.0626,3.2406,12.1278,1.0709,1.6267,22.2855,0.1622,0.0154,1.4529,9.1,9.6,6.7,48.3,7.1,6.6,4.2,5.9,2.4
0.5894,3.6932,17.9064,1.2062,1.6105,15.1526,0.163,0.0174,1.4966,15.3,8.6,3.9,45,8.9,5.9,5.2,4.3,3.1
3.4641,3.5508,11.1061,1.6358,1.4782,20.572,0.1674,0.0152,1.9289,5.7,10.1,5.4,53.3,7.7,5.2,5.1,3.8,3.6
2.2544,3.7199,12.2198,1.1998,1.7439,20.0934,0.1661,0.0149,1.9103,7.5,16,4.9,48,7.2,4.2,4.1,5.4,2.8
0.7007,0.4333,3.4724,0.234,0.2508,35.3711,0.0372,0.0139,0.7742,2.9,4.4,3.7,65.8,5.8,5.1,4.6,3.4,4.5
1.5521,2,6.8932,1.0382,0.9152,28.3928,0.0895,0.0143,1.2379,3.3,8.3,5.2,62.1,6.7,4.8,3.8,3.7,2.1
0,0.3647,3.4622,0.3,0.248,35.3243,0.0273,0.0138,0.7912,3.2,7.3,5.5,59.5,6.2,5.2,5.1,5.4,2.5
1.4256,1.7632,7.9501,0.959,0.9852,22.0112,0.1135,0.0141,1.5165,6,16.2,5.3,51.5,5.6,3.5,4.5,5.2,2.2
3.2449,2.112,8.0297,1.4177,1.058,24.1148,0.141,0.0148,1.5285,5.3,17.2,5,53.3,5.4,4.1,2.8,3.7,3.2
0.3914,0.391,3.5608,0.7363,0.2387,34.8381,0.0358,0.0139,0.8108,3,3.3,3.8,68.7,6.6,4,3.5,4.2,2.8
1.4421,2.1256,7.8812,1.3967,1.1385,26.3688,0.0985,0.0143,1.3298,4.8,8.4,6,58.7,5.8,4,4.6,4.2,3.5
3.365,1.6373,7.9708,0.9125,0.7587,24.6265,0.083,0.015,1.3722,5.6,20.3,4.6,45.4,6.2,4.9,3.6,6.5,3.1
2.9502,2.1923,8.2327,1.2123,1.28,25.0966,0.0932,0.0146,1.4474,4.6,15.4,5.8,52.1,6.7,5.6,2.3,5.3,2.2
1.863,2.5162,8.4996,1.3144,1.3691,24.9338,0.1291,0.0145,1.4244,3.7,10.2,6.5,53.7,7.4,5.3,3.2,4.9,5
0.3076,0.6269,3.61,0.781,0.3172,32.1053,0.032,0.0135,1.0185,2.5,3.7,6.6,64.7,6,5.1,3.3,3.3,4.9
0.3793,0.2383,3.4171,0.5385,0.2491,34.3245,0.0227,0.0135,0.9239,2.1,5.2,3.8,68.7,4.6,4.7,4.2,4.8,1.8
1.4734,4.0612,13.3826,1.2561,1.8668,19.296,0.2125,0.0161,1.4354,15.7,9.3,5.1,50.4,6.8,3.6,2.7,3.8,2.6
