Depth (ft),%Na,%Mg,%Al,%Si,%P,%S,%K,%Ca,%Ti,%Mn,%Fe,V ppm,Cr ppm,Co ppm,Ni ppm,Cu ppm,Zn ppm,Ga ppm,As ppm,Pb ppm,Th ppm,Rb ppm,U ppm,Sr ppm,Y ppm,Zr ppm,Nb ppm,Mo ppm,Quartz,Dolomite,Illite,Calcite,Gypsum,Microclin,Albite,Pyrite,Kaolinite
5675.667,0.1398,0.2365,0.7526,3.6188,0,0.695,0.2511,32.6026,0.036,0.0136,0.9745,52,16,6,11,14,5,3,7,9,3,14,0,212,20,28,3,0,2.5,3.7,3.6,64.9,6,4.4,2.7,6.6,5.5
5676,0.1134,1.083,0.2008,2.1825,0,1.0295,0.1183,35.647,0.0261,0.0128,1.2406,43,6,4,28,16,5,0,24,15,3,14,0,257,13,17,0,0,,,,,,,,,
5676.333,0.1977,0,0.6961,3.6655,0,1.2323,0.2711,29.1825,0.059,0.0132,1.2165,33,21,6,29,15,15,6,32,14,4,33,0,260,24,62,4,0,,,,,,,,,
5676.667,0.0866,0.9806,0.3715,2.8045,0,1.2745,0.1593,34.2187,0.031,0.013,1.2101,51,13,4,20,14,19,4,15,12,3,21,0,282,18,32,2,0,,,,,,,,,
5677,0.2254,0,1.0278,4.5452,0.1488,1.6599,0.2552,28.3875,0.0608,0.014,1.1226,55,30,1,36,26,40,14,28,17,6,26,35,4468,0,0,11,0,,,,,,,,,
5677.333,0.1792,1.0562,0.474,2.6063,0,1.2847,0.1439,34.0961,0.0245,0.0137,1.0066,52,13,6,16,13,8,5,10,10,3,14,0,228,17,28,2,0,2.7,3.7,3,66,6.1,4.5,4.6,6.1,3.3
5677.667,0.2408,0.3707,0.1836,2.1078,0,0.4045,0.1063,36.4214,0.0163,0.0139,0.9019,33,9,6,12,16,10,3,8,8,2,9,0,212,15,18,0,0,,,,,,,,,
5678.333,0.1891,0.6948,0.3189,2.5279,0,0.3194,0.1472,34.351,0.0221,0.0135,0.994,45,3,5,14,17,6,4,4,7,3,11,0,207,13,22,2,0,,,,,,,,,
5678.667,0.183,0.4714,0.0688,2.0656,0,0.2377,0.1086,36.2109,0.0225,0.0137,0.8334,40,6,7,8,9,7,3,8,7,2,9,4,208,16,18,1,0,,,,,,,,,
5679,0.1377,0.5814,0.6784,3.2093,0,0.7204,0.2257,34.6515,0.0361,0.0137,0.9011,37,15,6,14,14,10,4,5,8,3,20,0,207,15,40,2,0,2.6,6.2,3.3,59.6,6.5,4.1,6.2,5.5,6
5679.333,0.0928,0.0379,0.5205,3.6252,0,0.5294,0.1786,33.4519,0.0352,0.0136,0.9943,49,22,5,13,14,8,6,6,9,3,14,0,191,18,29,3,0,,,,,,,,,
