Depth (ft),%Na,%Mg,%Al,%Si,%P,%S,%K,%Ca,%Ti,%Mn,%Fe,V ppm,Cr ppm,Co ppm,Ni ppm,Cu ppm,Zn ppm,Ga ppm,As ppm,Pb ppm,Th ppm,Rb ppm,U ppm,Sr ppm,Y ppm,Zr ppm,Nb ppm,Mo ppm,Quartz,Dolomite,Illite,Calcite,Gypsum,Microclin,Albite,Pyrite,Kaolinite
5743.333,0.1996,0.41,0.1238,2.2655,0,0.2589,0.1381,35.3962,0.0214,0.0137,0.809,38,12,7,12,12,7,4,8,10,3,8,0,253,9,15,1,0,1.6,3.7,4.8,64.6,6.9,5,4.4,4,4.9
5743.667,0.1846,1.0242,0.0781,2.3552,0,0.2101,0.1326,36.2556,0.0171,0.0136,0.7782,34,10,8,12,17,7,5,7,10,3,12,3,278,13,20,0,2,,,,,,,,,
5744,0.2099,0.8739,0.675,3.2945,0,0.4799,0.1796,33.6207,0.0507,0.014,0.9006,29,18,6,17,13,11,5,7,9,3,16,2,269,10,36,2,3,,,,,,,,,
5744.333,0.1183,0.3389,0.3863,2.7413,0,0.1816,0.1687,36.1283,0.0256,0.0139,0.7821,32,15,7,11,14,0,3,7,8,3,11,4,252,11,25,3,5,,,,,,,,,
5744.667,0.1842,0.6083,0.1753,2.6725,0,0.1939,0.175,35.7163,0.0231,0.014,0.7848,37,11,8,12,17,17,5,5,8,3,16,0,276,13,20,1,4,,,,,,,,,
5745,0.2458,1.1026,0.1968,2.4654,0,0.1824,0.1631,35.7951,0.0201,0.0138,0.7567,34,11,8,5,15,4,5,6,10,3,17,0,256,10,25,3,0,2.2,6.2,6,59,6.6,4.6,4.1,6.6,4.5
5745.333,0.1881,0.3052,0.5135,2.8402,0,0.2284,0.1897,33.8296,0.021,0.014,0.8099,40,17,6,5,12,6,3,4,8,3,17,6,249,10,21,1,2,,,,,,,,,
5745.667,0.2978,0.8581,2.5569,7.1131,0,1.8047,0.7321,21.7593,0.2029,0.0144,1.6995,0,29,8,43,22,22,11,28,12,6,73,10,258,19,133,7,41,,,,,,,,,
5746,0.2271,1.628,0.1674,2.3268,0,0.2356,0.1484,33.7365,0.0177,0.0138,0.8282,47,10,7,12,16,0,4,4,8,2,12,5,251,8,24,1,7,,,,,,,,,
5746.333,0.2093,2.3801,0.1781,2.3743,0,0.2052,0.1713,34.009,0.0187,0.0139,0.8025,55,13,6,7,13,13,4,5,7,2,11,2,235,8,18,2,4,,,,,,,,,
5746.667,0.3042,2.7238,0.2405,3.1523,0,0.1957,0.205,33.0901,0.0283,0.0142,0.8235,52,23,7,15,13,5,3,4,10,3,17,2,231,14,33,1,4,,,,,,,,,
5747,0.5766,9.5171,0.35,2.6991,0,0.5409,0.2324,25.6812,0.0388,0.0144,1.1483,81,30,3,10,11,4,3,2,5,2,15,5,261,6,16,3,10,1.8,41.2,4,30.3,5.3,3.8,3.7,6.2,3.7
5747.333,0.6976,10.7942,0.3652,2.6881,0,0.721,0.225,23.8526,0.0326,0.0153,1.1467,96,36,5,5,7,7,4,0,5,2,16,0,268,6,15,3,1,,,,,,,,,
5747.667,0.2614,1.5477,0.2127,2.2666,0,0.2142,0.1446,34.5411,0.0198,0.0139,0.8209,35,12,4,9,12,0,3,1,3,2,11,1,227,7,20,0,2,,,,,,,,,
5748,0.2336,1.3389,0.3243,2.9065,0,0.1958,0.1814,34.8367,0.0275,0.0137,0.761,38,14,7,13,15,10,4,9,8,3,21,0,266,13,24,2,5,,,,,,,,,
5749.333,0.117,0.8852,0.2048,2.535,0,0.2807,0.1704,35.676,0.0248,0.0137,0.766,44,12,6,8,11,10,3,3,8,2,12,2,314,7,17,1,3,,,,,,,,,
5749.667,0.1843,1.9032,0.0566,1.9964,0,0.1607,0.1301,37.9393,0.0175,0.0135,0.6388,56,11,8,14,15,10,5,2,5,3,11,5,606,1,4,2,0,1.9,7.6,4,61.4,6.7,5.4,3.7,5.6,3.7
5750,0.1557,1.0538,0.2067,2.2579,0,0.3967,0.1402,37.5834,0.0229,0.0139,0.7054,48,17,8,15,11,12,6,8,10,3,10,0,660,0,2,3,0,,,,,,,,,
5750.333,0.154,0.4999,0.1868,2.2742,0,0.2571,0.1491,34.964,0.0227,0.0136,0.7983,34,7,6,16,17,13,5,4,8,3,13,0,459,7,11,1,0,,,,,,,,,
5750.667,0.1853,1.6687,0.0825,1.8875,0,0.1897,0.0874,37.1595,0.0159,0.0142,0.747,50,16,8,18,20,4,3,3,7,3,12,3,644,2,4,0,0,,,,,,,,,
5751,0.2143,0.8201,0.6799,3.081,0,0.9728,0.249,32.5499,0.0616,0.0135,0.9846,21,14,8,11,14,10,3,2,8,3,16,0,405,5,16,1,1,,,,,,,,,
5751.333,0.1601,1.4286,0.2127,2.2285,0,0.2393,0.1367,35.754,0.0163,0.0138,0.7672,44,10,7,12,14,6,3,0,2,2,10,6,326,8,15,2,0,2,5,3.6,65.9,6.6,5.1,4,3.4,4.5
5751.667,0.2236,0.8213,0.1797,2.1722,0,0.233,0.1163,35.6578,0.0143,0.0136,0.8036,33,11,8,9,17,5,5,2,4,3,12,0,305,9,14,0,0,,,,,,,,,
5752,0.1624,0.7381,0.064,2.0636,0,0.2002,0.1151,36.8027,0.011,0.0137,0.7525,40,12,7,8,16,6,5,3,9,3,13,5,318,10,15,2,6,,,,,,,,,
5752.333,0.185,1.9144,0.1858,2.1997,0,0.2135,0.1308,35.618,0.0236,0.0136,0.8234,51,14,8,11,15,3,2,6,5,3,12,0,307,4,17,1,0,,,,,,,,,
5752.667,0.1881,0.8684,0.1355,2.2501,0,0.2726,0.141,35.5381,0.0157,0.0136,0.7759,33,7,7,12,13,9,5,1,8,2,15,5,305,12,20,0,5,,,,,,,,,
5753,0.1671,1.1353,0.1434,2.1824,0,0.1877,0.1372,36.8116,0.0152,0.0136,0.7492,35,10,7,10,11,0,3,8,9,3,13,5,302,11,18,0,3,1.9,6.5,6.3,61.6,5.6,5.4,4.8,3.7,4.2
5753.333,0.2517,0.9877,0.0959,2.1497,0,0.1663,0.1329,34.9775,0.0138,0.0137,0.7527,34,11,8,16,14,2,3,5,7,2,8,9,286,12,13,1,0,,,,,,,,,
5753.667,0.1638,1.115,0.2242,2.3792,0,0.2788,0.1518,35.9429,0.0206,0.0137,0.7624,38,8,8,15,13,3,2,10,9,3,11,0,264,11,21,3,0,,,,,,,,,
5754,0.2282,2.3216,0.4664,2.5948,0,0.7737,0.1819,33.7747,0.0248,0.0137,0.8543,52,11,8,17,18,3,5,7,8,3,14,4,302,7,20,2,2,,,,,,,,,
5754.333,0.2361,2.0842,0.2021,2.1082,0,0.2599,0.1264,35.1538,0.0154,0.0137,0.7613,46,11,8,12,12,7,3,2,8,3,8,5,275,6,20,0,2,,,,,,,,,
5754.667,0.2505,2.0662,0.1168,2.0307,0,0.3246,0.1251,35.4679,0.0109,0.0138,0.7903,40,14,7,18,13,10,5,8,9,3,10,0,320,8,11,2,0,1.6,11.2,3.8,58.6,5.7,6.3,4.6,4.8,3.5
5755,0.2948,2.557,0.1998,2.3607,0,0.3928,0.1626,32.442,0.0176,0.0137,0.8747,38,17,7,17,15,4,3,8,10,3,11,11,327,8,17,1,5,,,,,,,,,
5755.333,0.4379,6.2169,0.115,2.3511,0,0.3871,0.1307,29.0535,0.0229,0.0141,0.8502,65,21,7,7,11,6,3,4,6,2,12,2,256,5,18,2,5,,,,,,,,,
5755.667,0.423,5.8783,0.1843,2.3461,0,0.3129,0.1578,30.114,0.0171,0.0143,0.8622,57,28,5,9,11,3,4,5,8,2,10,4,245,7,16,2,0,,,,,,,,,
5756,0.4801,7.0224,0.2214,2.3321,0,0.3709,0.15,29.7374,0.0183,0.0144,0.8887,57,24,7,7,9,3,1,8,7,2,12,2,205,6,18,2,2,,,,,,,,,
5756.333,0.4578,6.6047,0.2223,2.3963,0,0.2756,0.1522,28.7839,0.0235,0.0144,0.89,56,23,6,10,9,0,1,2,6,2,11,0,218,5,15,2,0,1.5,31.7,3,41.1,4.4,4.4,4.6,5.4,3.8
5756.667,0.4128,5.4028,0.1587,2.3312,0,0.231,0.139,29.364,0.0151,0.0142,0.9269,61,17,6,5,13,2,2,6,7,2,9,8,210,4,11,0,0,,,,,,,,,
5757,0.4536,6.5525,0.226,2.1925,0,0.8458,0.1246,29.2996,0.0229,0.0142,0.8586,77,24,5,7,11,0,3,6,8,2,16,8,259,6,25,2,2,,,,,,,,,
5757.333,0.6007,9.7877,0.1531,2.4143,0,0.218,0.1331,25.516,0.0222,0.0154,0.8441,85,40,6,9,6,0,1,0,2,2,12,0,192,7,17,2,0,,,,,,,,,
5757.667,0.5681,9.7139,0.0826,2.2327,0,1.363,0.1071,24.0139,0.0199,0.0156,0.7192,81,41,7,0,6,0,1,2,7,2,13,0,224,4,14,1,0,,,,,,,,,
5758.333,0.5535,10.6513,0.1793,2.2802,0,0.4055,0.1368,25.5971,0.0288,0.0153,0.8013,92,38,5,3,7,0,0,0,5,2,10,1,218,2,11,2,3,1.8,55.7,2.7,23.4,4.1,2.3,3,3.6,3.4
5758.667,0.6045,9.5025,0.2076,2.3944,0,0.2981,0.1502,25.1322,0.0193,0.0151,0.8928,71,34,6,2,3,5,3,3,6,2,13,0,201,6,15,2,1,,,,,,,,,
5759,0.436,6.1647,0.0887,2.2213,0,0.2221,0.1421,30.6672,0.0268,0.0143,0.8852,67,25,6,11,10,3,4,3,6,2,9,2,220,10,15,1,0,,,,,,,,,
5759.333,0.3357,3.9871,0.2837,2.4331,0,0.213,0.1679,32.3476,0.0203,0.0137,0.8903,40,19,6,6,11,10,3,6,7,3,11,3,251,13,18,1,14,,,,,,,,,
5759.667,0.2709,3.0856,0.2741,2.3123,0,0.1667,0.1594,33.5944,0.0212,0.0136,0.8709,48,16,7,15,11,15,4,5,7,3,14,0,250,4,20,2,0,,,,,,,,,
5760,0.6396,10.8724,0.1748,2.4573,0,0.4393,0.1191,23.6713,0.0234,0.0154,0.9733,104,43,5,4,4,0,2,0,6,2,9,6,203,4,21,0,6,,,,,,,,,
5760.333,0.5609,9.0597,0.2347,2.8053,0,0.5715,0.1808,22.8701,0.0298,0.0153,0.9997,66,38,5,3,8,3,2,1,5,2,17,6,188,14,30,3,1,2,57.6,2.8,19.3,3.8,3.5,3.1,4.9,3.1
5760.667,0.6453,11.3777,0.1029,2.8466,0,0.7042,0.1663,22.2666,0.0336,0.016,0.7659,94,52,5,4,8,0,2,0,3,2,13,2,307,4,22,2,2,,,,,,,,,
5761,0.6336,12.1352,0.2414,2.6302,0,0.7513,0.223,21.756,0.0333,0.0161,0.7834,96,49,7,6,6,0,0,0,5,2,15,2,365,1,11,1,0,,,,,,,,,
5761.333,0.6258,10.6132,0.4532,3.8847,0,0.5575,0.1938,20.6515,0.0483,0.0162,0.7936,74,53,6,9,4,0,1,2,7,2,17,8,418,5,55,4,2,,,,,,,,,
5761.667,0.5651,11.0366,0.3771,3.4776,0,0.4561,0.2129,21.233,0.0385,0.0161,0.8971,90,54,5,0,2,1,3,0,5,2,17,3,382,1,25,4,4,,,,,,,,,
5762,0.6,10.4739,0.4782,3.6095,0,0.9078,0.3125,20.1013,0.0475,0.0159,1.1862,93,53,6,6,7,4,3,2,7,2,17,0,270,6,23,3,0,,,,,,,,,
5762.333,0.5443,9.8612,0.5324,3.4433,0,0.4332,0.2542,21.3034,0.0437,0.0159,1.0555,96,50,4,2,4,4,3,2,6,2,19,0,235,3,29,3,4,,,,,,,,,
5762.667,0.4762,9.9864,0.8829,3.9856,0,0.4616,0.4378,20.0422,0.0603,0.0162,0.995,83,54,6,4,3,5,4,4,7,3,26,2,572,1,17,4,4,,,,,,,,,
5763,0.5902,11.0477,0.6104,3.5401,0,0.7839,0.3359,20.7025,0.0527,0.0158,0.9503,79,40,5,10,8,4,3,0,4,2,22,8,253,10,23,4,1,,,,,,,,,
5763.333,0.469,6.9377,0.6772,3.2444,0,0.8245,0.2535,25.4048,0.0394,0.0145,0.994,57,34,6,9,10,4,4,4,7,3,20,6,233,10,23,3,0,,,,,,,,,
5763.667,0.5095,7.949,0.4441,2.8796,0,0.4209,0.2502,26.1569,0.033,0.0151,0.8741,62,38,5,6,12,0,4,0,6,2,12,0,192,10,17,1,0,1.7,43.1,2.9,33.5,4.2,3.1,3.2,5.5,2.7
5764,0.3146,0.4283,1.0781,4.3238,0,1.0575,0.2784,28.7538,0.0724,0.0142,0.905,22,21,7,7,8,5,4,2,8,3,13,2,273,8,30,2,0,,,,,,,,,
5764.333,0.2242,1.7108,1.0831,5.8081,0,0.7534,0.332,29.0403,0.1107,0.0148,1.0238,34,36,6,21,16,13,8,17,15,5,52,7,192,23,182,8,21,,,,,,,,,
5764.667,0.1415,0.5565,0.0435,1.9933,0,0.1895,0.0899,37.4104,0.0115,0.0136,0.7854,46,7,8,9,12,4,4,3,7,3,8,0,305,7,14,0,0,,,,,,,,,
5765,0.1441,0.6525,0.107,2.5214,0,0.2048,0.1148,36.0745,0.0195,0.0137,0.7735,36,10,8,16,19,32,4,8,10,3,12,0,256,8,24,3,0,,,,,,,,,
5765.333,0.2432,0.1631,0.1401,2.3023,0,0.2546,0.1401,35.305,0.0219,0.0136,0.76,31,17,7,16,17,5,3,5,9,3,11,0,280,11,23,3,3,1.8,6.3,4.5,60.3,7.7,4.7,6.3,4.8,3.6
5765.667,0.189,0.6289,0.2147,2.4446,0,0.1965,0.1334,34.3918,0.0153,0.0136,0.7453,35,9,7,16,13,6,2,1,5,2,13,0,283,8,17,2,0,,,,,,,,,
5766,0.169,0.5105,0.1395,2.1269,0,0.1817,0.1247,35.9746,0.0165,0.0137,0.7892,40,11,8,16,19,5,3,4,9,3,13,0,277,13,20,2,0,,,,,,,,,
5766.333,0.2704,1.8665,0.3606,2.8379,0,0.253,0.1592,32.4482,0.0232,0.014,0.783,44,17,7,21,16,11,7,7,9,4,35,0,233,14,94,5,6,,,,,,,,,
5766.667,0.4458,6.6302,0.6396,4.0378,0,0.3642,0.3854,25.9823,0.0506,0.0148,0.8861,61,34,7,10,8,7,5,7,9,3,30,0,216,12,36,3,2,,,,,,,,,
5767,0.4953,7.8221,0.9068,4.867,0,0.7047,0.4356,23.9515,0.0665,0.0154,0.9595,58,47,5,4,14,8,3,6,7,3,26,7,212,11,39,4,0,3,44.6,3.9,29.1,4.1,3.2,4.1,3.4,4.8
5767.333,0.3555,3.2126,1.9275,9.9272,0.0195,0.3871,0.5012,22.4886,0.1379,0.0158,1.9235,54,54,6,19,13,22,5,4,7,4,37,0,263,21,97,5,8,11,17.6,3.3,50,5.7,2.9,3.9,3.5,2.1
5767.667,0.1785,0.765,1.4475,6.8286,0.0526,0.3107,0.3687,30.9293,0.083,0.0149,0.9431,44,35,6,16,12,15,4,2,8,3,22,7,252,20,68,3,2,,,,,,,,,
5768,0.2094,0,0.8632,4.0871,0.0864,0.2408,0.3117,33.5855,0.0516,0.0135,0.8565,42,19,7,12,20,12,5,6,8,4,24,0,566,8,30,2,0,,,,,,,,,
5768.333,0.2382,1.6201,7.0109,16.9652,0.1159,1.7958,1.7467,15.5668,0.3302,0.016,2.5295,40,69,6,50,19,34,15,26,13,9,105,0,255,30,129,10,7,,,,,,,,,
5768.667,0.461,1.2826,10.3915,25.2518,0.0211,0.7093,3.0783,3.8783,0.4892,0.0213,2.1609,58,110,9,41,14,40,19,11,16,11,152,10,316,22,160,11,4,,,,,,,,,
5769,0.2834,0.8334,1.3344,4.8148,0.1274,0.3401,0.3677,31.97,0.0604,0.0147,0.8613,39,26,7,18,20,16,5,0,7,4,23,3,1060,5,19,3,0,,,,,,,,,
5769.333,0.2505,0.3205,0.566,3.4918,0,0.2198,0.2468,35.1973,0.0394,0.014,0.7723,39,19,8,21,15,17,6,0,7,4,21,3,1163,0,14,3,2,,,,,,,,,
5769.667,0.4176,2.0848,1.9187,7.5481,0,0.4055,0.6241,22.211,0.1146,0.0147,2.1341,57,43,7,13,9,11,5,5,10,4,23,8,399,13,31,3,0,3.2,4.7,3.3,70.6,5.2,3.4,2.5,3.6,3.5
5770,0.1502,0.344,0.6122,3.517,0,0.1933,0.2696,35.4539,0.0416,0.0142,0.7519,44,14,8,21,21,9,5,8,9,4,20,19,1367,0,0,4,0,,,,,,,,,
5770.333,0.3121,1.4989,7.3993,21.5198,0.082,1.2246,2.005,10.5482,0.3846,0.019,2.1191,41,99,6,46,13,30,15,4,11,9,112,7,229,31,203,10,15,,,,,,,,,
5770.667,0.3992,3.9466,4.8944,15.3206,0.0765,0.9658,1.2227,14.4046,0.268,0.017,2.6306,54,72,7,37,12,22,11,11,12,7,85,9,236,35,147,10,13,,,,,,,,,
5771,0.3715,3.847,5.2447,16.1058,0.066,0.9233,1.3057,14.4887,0.3176,0.0176,2.6865,54,67,9,36,12,24,9,8,11,7,91,0,192,34,153,8,9,,,,,,,,,
5771.333,0.4123,5.4348,1.1856,5.912,0.1571,0.4539,0.4576,23.6234,0.0958,0.0144,2.8308,95,29,8,25,8,22,4,8,9,4,34,0,191,23,41,3,1,1.9,5.3,3.9,69.4,4.3,3.2,4.8,4.2,3
5771.667,0.4173,5.5444,1.1992,5.8847,0.2113,0.3195,0.4397,24.2334,0.0887,0.0147,2.5891,82,39,5,30,12,14,4,3,8,4,37,4,202,25,55,4,0,,,,,,,,,
5772,0.1804,0.1905,0.4833,3.0617,0,0.1883,0.2463,35.4587,0.0314,0.014,0.7742,35,18,4,11,13,15,5,6,7,4,29,0,242,19,40,3,0,,,,,,,,,
5772.333,0.2075,0.8435,1.0811,3.9984,0.0381,0.4202,0.321,33.3175,0.0414,0.014,0.8003,35,21,7,12,14,7,4,0,5,3,25,0,251,18,30,1,0,,,,,,,,,
5772.667,0.2752,0.8418,0.8923,4.1168,0.0245,0.4076,0.3584,33.8292,0.0531,0.0138,0.9304,28,19,6,21,16,15,6,6,8,3,24,0,221,18,41,3,0,,,,,,,,,
5773,0.3596,3.8542,4.4673,11.8418,0.1045,1.2016,1.1234,18.4622,0.1756,0.0153,2.8988,65,56,5,16,15,10,5,8,9,3,24,8,291,13,31,2,0,,,,,,,,,
5773.333,0.1683,0.0791,0.4348,3.2836,0,0.5105,0.2351,32.9515,0.0321,0.0133,0.9877,40,11,5,14,15,5,4,6,9,3,20,0,215,14,25,2,0,2.1,5.8,3.8,68,5.3,3.3,4.1,4.2,3.4
5773.667,0.1616,0,0.9556,4.0666,0,0.3203,0.3048,32.8752,0.0443,0.0138,0.8472,30,21,6,15,18,9,5,2,8,3,21,0,173,17,40,1,0,,,,,,,,,
5774,0.1991,0.3716,0.8929,3.6804,0.076,0.244,0.2797,34.9941,0.0429,0.0139,0.7816,43,19,8,16,22,15,8,2,10,4,19,12,1690,0,0,5,0,,,,,,,,,
5774.333,0.2094,0,1.0836,4.3751,0,0.3522,0.3068,33.0757,0.0393,0.0138,0.9425,37,19,5,17,15,10,4,6,9,3,20,0,151,20,33,2,0,,,,,,,,,
5775,0.1982,0.2205,0.6087,3.6167,0,0.5069,0.2872,33.5842,0.0398,0.0136,1.0105,46,16,6,12,10,7,3,3,8,3,21,0,152,14,32,1,0,,,,,,,,,
5775.333,0.1945,0,1.0871,4.1548,0,0.243,0.3043,33.3673,0.0387,0.0137,0.8866,26,19,6,36,11,20,8,2,9,6,64,0,206,29,111,7,7,2.7,3.4,3.9,70.6,5.1,4.1,3.5,4.2,2.4
5775.667,0.2994,3.0504,5.1166,16.6795,0.1741,1.6062,1.5063,13.4967,0.2745,0.0166,2.7497,35,79,7,40,12,18,9,13,13,7,86,6,218,29,142,8,8,,,,,,,,,
5776,0.2396,0.1023,1.4065,4.6443,0.0196,0.4365,0.3636,33.508,0.0447,0.0138,0.8245,40,24,8,11,13,9,5,0,6,4,26,0,191,19,40,2,0,,,,,,,,,
5776.333,0.2244,0.1463,0.7,3.5037,0.0321,0.2145,0.2688,34.5268,0.046,0.0137,0.7861,30,15,7,13,10,13,4,8,9,3,26,0,286,19,44,2,1,,,,,,,,,
5776.667,0.3559,2.6117,2.8951,11.6093,0.0875,0.9938,0.9005,18.1569,0.1608,0.0163,2.7385,50,64,5,29,13,33,7,1,9,5,57,2,204,28,118,6,7,,,,,,,,,
5777,0.3575,1.8905,7.2161,18.0641,0.133,1.0951,2.0371,12.735,0.3293,0.017,2.3167,16,86,7,42,20,34,15,6,12,9,114,4,251,26,140,9,9,,,,,,,,,
5777.333,0.3652,2.1177,2.7298,9.8617,0.115,0.9147,0.8835,20.7874,0.1535,0.0149,2.2683,38,54,6,17,12,6,6,3,9,3,24,0,147,17,40,2,0,8.4,25.6,3.6,43.4,5.6,3.8,2.6,4.4,2.6
5777.667,0.3109,1.0999,2.7494,11.5576,0.1924,1.2636,0.9358,19.2536,0.1616,0.0154,1.9494,50,60,4,28,13,21,8,2,7,5,49,0,239,29,134,7,7,,,,,,,,,
5778,0.3455,1.4115,5.6763,16.6213,0.1767,0.9644,1.7247,15.5815,0.2956,0.0167,1.8756,0,93,7,35,16,45,11,0,9,7,89,12,276,31,161,10,15,,,,,,,,,
5778.333,0.3327,2.7817,4.568,16.2528,0.0909,0.8797,1.2895,14.7596,0.2341,0.0163,2.5774,56,67,8,32,10,24,10,4,10,7,83,0,212,26,145,8,6,,,,,,,,,
5778.667,0.3811,3.2016,4.5343,15.186,0.1064,1.501,1.2307,14.9682,0.2205,0.0162,2.7437,47,70,6,31,14,26,9,8,11,7,79,3,232,23,131,7,10,,,,,,,,,
5779,0.258,0,0.3749,3.6924,0.0229,0.2276,0.2438,34.8583,0.0395,0.0139,0.7806,31,22,6,15,16,11,5,5,7,4,20,0,586,9,44,4,0,3.1,4.6,3.1,70.6,4.6,4.7,3.1,4.3,1.8
5779.333,0.3476,0.2469,3.8256,14.7208,0.2049,0.7427,1.2214,17.939,0.2168,0.0166,1.6205,12,76,5,21,16,18,8,8,10,4,35,9,908,4,57,6,2,,,,,,,,,
5779.667,0.3687,1.7931,6.4403,21.003,0.1258,0.873,2.0137,10.3446,0.3266,0.0195,2.3233,41,89,5,39,15,32,14,4,11,8,102,4,229,31,194,10,11,,,,,,,,,
5780,0.3643,2.8518,2.9038,12.7373,0.0867,0.6056,0.9525,17.0257,0.1827,0.0166,2.8572,58,69,6,28,13,22,8,0,8,6,67,3,184,29,125,5,13,,,,,,,,,
5780.333,0.2957,1.8038,5.274,19.951,0.2101,0.9775,1.7528,12.8262,0.295,0.0182,2.069,15,95,3,34,13,21,9,4,10,7,89,1,224,38,195,10,16,,,,,,,,,
5780.667,0.2841,2.1655,4.9492,23.1633,0.1752,1.7687,1.4825,10.007,0.3226,0.0202,2.1473,17,92,7,36,12,22,9,6,10,7,93,1,188,34,229,12,13,,,,,,,,,
5781,0.3376,2.5983,4.45,23.2153,0.1976,1.0531,1.2602,11.9563,0.2913,0.0197,2.2521,38,89,4,32,10,30,10,7,10,7,83,9,203,32,213,10,15,31.1,17.4,4.5,23.2,8.2,4.8,4.2,3.7,2.8
5781.333,0.4076,1.6279,6.0692,19.8551,0.1092,1.2729,1.85,11.5353,0.3067,0.0181,2.2981,15,95,7,35,11,22,11,4,10,8,108,3,251,30,202,10,12,,,,,,,,,
5781.667,0.3829,1.3469,5.8886,20.1157,0.1447,0.9087,1.824,11.8569,0.326,0.0189,2.3384,49,87,9,33,13,27,13,0,9,8,95,0,222,29,190,9,7,,,,,,,,,
5782,0.2785,0,0.7464,4.2427,0.0081,0.3414,0.2967,34.2356,0.0553,0.0143,0.8104,34,18,6,18,18,13,7,3,8,3,21,8,664,9,41,3,0,,,,,,,,,
5782.333,0.4049,4.0625,2.8032,12.2292,0.0318,1.3061,0.8192,16.8264,0.1718,0.0167,3.0898,65,56,11,23,6,15,6,1,6,4,48,0,157,19,103,4,1,,,,,,,,,
5782.667,0.3872,2.1208,4.4655,16.5964,0.0837,0.6294,1.3334,15.486,0.2357,0.0175,2.3012,27,81,6,34,11,24,10,8,11,6,72,5,186,28,150,9,10,4.8,4,2.6,72.6,4,2.8,3.7,3.5,1.9
5783,0.2678,0,1.2128,5.2994,0.0806,0.5051,0.3632,31.9541,0.0502,0.0141,0.89,30,28,6,23,19,16,7,4,7,4,24,4,1021,0,31,3,0,,,,,,,,,
5783.333,0.2511,0,0.8228,5.4803,0,0.4704,0.3362,32.1838,0.0506,0.014,0.877,33,30,6,21,18,10,5,3,7,4,30,0,754,3,30,5,0,,,,,,,,,
5783.667,0.3239,0,0.9998,4.7476,0.0978,0.3062,0.3315,32.0104,0.0513,0.0143,0.8582,53,17,7,12,18,12,7,6,9,4,25,1,815,3,41,3,0,,,,,,,,,
5784,0.4583,0.971,7.428,27.8108,0.0724,1.3397,2.4005,3.9809,0.4254,0.0218,2.1888,16,107,7,31,8,24,13,8,12,9,120,11,191,29,280,13,17,,,,,,,,,
5784.333,0.3655,1.1369,7.4578,27.6666,0.0815,1.4184,2.4146,3.6541,0.4406,0.0229,2.3444,69,116,7,39,10,30,16,4,11,10,126,0,189,31,280,14,13,35.2,22.3,6.4,12.5,7.4,5.4,3.6,4.2,3
5784.667,0.4208,0.6136,6.8286,27.134,0.4055,1.0153,2.2214,4.9244,0.3906,0.0217,2.2419,56,112,7,35,13,24,10,7,11,8,105,5,186,33,284,12,17,,,,,,,,,
5785,0.5119,1.4294,4.7053,25.869,0.0737,1.3715,1.5599,6.4884,0.2958,0.0219,2.2284,59,105,7,23,11,18,7,6,10,6,77,0,156,31,258,10,14,,,,,,,,,
5785.333,0.4079,0.4817,7.5753,28.5822,0.0588,1.258,2.3953,3.2511,0.3921,0.0221,2.3014,60,100,5,32,13,32,14,5,11,9,123,9,227,29,244,13,15,,,,,,,,,
5785.667,0.4844,1.0376,7.0689,27.0574,0.0503,1.1806,2.2832,4.0535,0.3888,0.0229,2.4851,37,92,6,39,11,32,15,3,10,9,120,8,183,28,240,13,23,,,,,,,,,
5786,0.2833,1.5062,7.1464,29.5244,0.1022,1.3807,2.114,5.9337,0.373,0.0217,2.0215,23,114,10,34,8,24,12,8,12,8,110,6,254,26,259,12,19,18.9,28.3,6.9,20,7.1,6.5,4.5,5.3,2.5
5786.333,0.4394,1.8588,6.5611,20.3106,0.0672,1.0144,2.0115,8.98,0.3138,0.0194,2.8677,59,74,9,42,15,33,14,7,11,9,116,2,216,30,174,10,8,,,,,,,,,
5786.667,0.3721,0.8653,6.428,26.7754,0.0784,1.2425,2.0954,4.5426,0.3502,0.0215,2.4073,42,118,6,34,15,26,12,6,11,9,115,7,204,29,259,13,19,,,,,,,,,
5787,0.4306,1.8246,7.7212,21.8744,0.0646,0.8147,2.5044,7.9154,0.3642,0.0208,2.9228,50,101,4,42,15,33,14,6,12,10,137,6,199,28,162,9,5,,,,,,,,,
5787.333,0.4001,2.4848,7.1173,20.1731,0.0627,0.8184,2.1326,9.9483,0.3295,0.0193,2.8305,35,95,7,34,9,33,11,6,11,9,118,0,208,27,153,9,10,22.5,24.4,8.2,21.2,6.6,5.9,2.8,4.5,3.7
5787.667,0.4169,2.0231,7.7582,22.1091,0.0948,1.1764,2.4972,7.9743,0.3777,0.0205,2.8912,42,93,11,42,12,32,14,7,11,12,157,1,212,26,154,11,6,,,,,,,,,
5788.333,0.4045,2.1003,7.538,20.8206,0.0532,0.9428,2.3222,9.0147,0.3417,0.019,3.0248,39,98,9,44,12,31,13,5,11,10,134,0,230,27,171,10,9,,,,,,,,,
5788.667,0.3706,2.4883,4.7074,18.386,0.104,0.8397,1.6804,11.843,0.2479,0.0189,2.5089,49,92,8,38,12,27,12,0,8,7,92,1,208,32,173,9,15,,,,,,,,,
5789,0.4333,1.3838,6.5485,22.3689,0.1143,1.1278,2.2687,9.1512,0.3396,0.0191,2.4574,40,94,11,39,11,27,12,2,10,8,99,0,190,32,194,10,11,,,,,,,,,
