Depth (ft),%Na,%Mg,%Al,%Si,%P,%S,%K,%Ca,%Ti,%Mn,%Fe,V ppm,Cr ppm,Co ppm,Ni ppm,Cu ppm,Zn ppm,Ga ppm,As ppm,Pb ppm,Th ppm,Rb ppm,U ppm,Sr ppm,Y ppm,Zr ppm,Nb ppm,Mo ppm,Quartz,Dolomite,Illite,Calcite,Gypsum,Microclin,Albite,Pyrite,Kaolinite,Modeled Quartz,Modeled Dolomite,Modeled Illite,Modeled Calcite,Modeled Gypsum,Modeled Microclin,Modeled Albite,Modeled Pyrite,Modeled Kaolinite
5726.6669999999995,0.1877,0.1874,0.9318,5.1944,0.0,0.4322,0.4174,30.8839,0.0638,0.0155,0.8832,33,24,7,10,9,8,5,8,10,3,21,2,375,12,41,2,2,,,,,,,,,,3.3252876,5.6970277,4.42073,61.518726,6.503193,4.362656,3.690938,4.42186,4.0301037
5727.0,0.1631,0.4713,0.7251,4.7276,0.0,0.3611,0.3253,32.9885,0.0517,0.0153,0.8228,39,25,7,16,16,10,6,10,11,4,24,7,378,14,42,1,7,8.2,6.8,5.0,59.8,5.9,3.5,3.6,3.1,4.1,3.1587293,6.059104,4.5097456,63.727108,6.6285877,4.579271,3.91632,4.7448,4.004932
5727.3330000000005,0.2566,0.3431,1.3219999999999998,6.077999999999999,0.0,0.4955,0.4209,30.0566,0.0746,0.0153,0.8924,25,28,7,14,14,14,7,10,11,5,48,6,376,21,111,7,15,,,,,,,,,,3.8700652,6.312026,4.542631,61.407646,6.6379676,4.2605767,3.6547837,4.538425,3.9928706
5727.6669999999995,0.2167,0.4288,1.1235,5.4634,0.0041,0.3779,0.4292,31.0064,0.0753,0.0155,0.8897,32,28,6,17,18,20,6,8,10,4,30,0,440,14,52,5,0,,,,,,,,,,3.512331,6.1655555,4.504528,62.068962,6.6180067,4.350901,3.7360678,4.6107283,3.9545443
5728.0,0.2431,0.8382,2.1245,8.501,0.0,0.6081,0.6319,26.326,0.1298,0.0163,1.1343,5,40,6,21,14,20,12,9,12,5,54,5,442,19,96,6,9,,,,,,,,,,5.504379,8.189518,4.69607,58.47563,6.6297493,4.2065625,3.538201,4.672078,3.7384174
5728.3330000000005,0.3379,0.5143,2.7939,10.1509,0.0,0.7555,0.818,23.1315,0.1688,0.0167,1.2942,15,44,5,22,13,16,7,11,11,5,51,1,285,17,95,5,11,,,,,,,,,,6.402144,8.302757,4.7464876,56.39785,6.6181164,4.0692806,3.309295,4.318293,3.8995893
5728.6669999999995,0.3018,0.4506,2.9613,11.3301,0.0054,0.7822,0.8042,22.3443,0.1773,0.0176,1.2546,16,47,6,23,13,12,7,5,9,5,53,15,208,19,127,6,12,12.4,6.6,4.0,53.5,6.6,4.6,3.7,5.4,3.1,6.9649477,8.671601,4.8679075,56.28445,6.7438936,3.942823,3.2410176,4.3288975,3.9741838
5729.0,0.28300000000000003,0.6609,1.6749,5.7503,0.0,0.4494,0.4328,30.3122,0.0829,0.0156,0.9195,24,27,6,18,16,14,6,9,10,4,32,5,227,18,59,3,7,,,,,,,,,,3.896568,6.691912,4.564715,61.844826,6.6512656,4.3958993,3.7541308,4.6975737,3.8969648
5729.3330000000005,0.2741,0.8428,2.7329,7.9893,0.0,0.8669,0.5817,26.6572,0.1217,0.0162,1.1289,5,38,7,13,13,10,6,13,11,4,34,0,220,18,56,6,0,,,,,,,,,,5.516489,8.115011,4.755081,59.63258,6.7296543,4.332115,3.6085107,4.678635,3.8527393
5729.6669999999995,0.2461,0.8751,3.0761,7.9291,0.0,0.6344,0.6235,27.1165,0.1416,0.016,1.1462,4,33,4,23,17,20,6,13,12,4,35,15,234,19,73,5,16,,,,,,,,,,5.433585,7.977475,4.8055615,60.908413,6.828325,4.44061,3.683838,4.7009125,3.9611392
5730.0,0.1939,0.5884,0.3741,2.8925,0.0,0.2248,0.2239,36.1735,0.0297,0.0143,0.7919,46,12,8,10,14,7,5,5,7,3,18,2,235,11,21,3,0,2.4,8.8,5.2,62.0,6.6,4.2,3.2,4.4,3.2,2.347499,5.6283693,4.4442043,66.42649,6.5480394,5.1223373,4.2605896,4.8783746,4.1010394
5730.3330000000005,0.1981,0.632,0.6313,3.4534,0.0,0.4245,0.3214,34.1159,0.0386,0.0144,0.8348,26,18,7,14,12,9,5,10,10,4,22,0,214,13,27,3,1,2.4,6.1,4.8,64.0,5.7,4.9,4.5,3.8,3.8,2.70457,5.9259048,4.415893,64.20117,6.500345,4.83417,4.0598774,4.8047814,3.932892
5730.6669999999995,0.1318,0.4511,0.1296,1.9414,0.0,0.1798,0.0904,37.3221,0.0126,0.0141,0.7621,44,12,7,11,12,10,4,4,9,3,13,0,227,14,16,0,0,,,,,,,,,,1.8719016,5.067806,4.3461194,66.97602,6.412242,5.333822,4.35486,4.7747283,4.2014694
5731.0,0.2162,1.25,0.043,1.7831,0.0,0.1674,0.0695,37.1341,0.0147,0.0137,0.7515,46,7,8,16,15,10,5,9,9,2,6,11,332,12,16,3,2,,,,,,,,,,1.9959761,6.3237453,4.334325,65.64983,6.368556,5.1826963,4.3792467,5.2449765,3.6539004
5731.3330000000005,0.1872,0.6226,0.013999999999999999,1.7572,0.0,0.0825,0.0614,36.499,0.0128,0.0138,0.7586,38,3,8,10,15,4,4,12,11,3,11,0,277,10,12,0,0,,,,,,,,,,1.77133,5.1855607,4.2218432,65.04675,6.2207317,5.209649,4.266685,4.7597885,3.975318
5731.6669999999995,0.2108,1.0132,0.0169,1.7583,0.0,0.1361,0.0741,37.5166,0.0113,0.0143,0.7333,38,10,9,15,14,11,5,4,8,2,8,0,277,12,12,2,1,,,,,,,,,,1.907331,5.9210434,4.342734,66.36807,6.388824,5.266172,4.4021206,5.123339,3.836264
5732.0,0.1344,0.9141,0.0057,1.8154,0.0,0.3104,0.0853,36.5702,0.0121,0.0137,0.7389,43,11,7,22,15,9,4,0,7,3,12,0,397,10,10,1,0,0.8,3.7,4.3,66.5,7.0,3.9,2.9,7.4,3.4,1.9732493,5.8379097,4.284944,65.03521,6.3028364,5.138409,4.2886934,5.001805,3.7885175
5732.3330000000005,0.2026,0.8422,0.0412,1.7956,0.0,0.1989,0.0774,37.917,0.0108,0.0139,0.7163,38,8,7,8,17,5,4,1,8,2,7,4,261,7,11,0,0,,,,,,,,,,1.9121966,5.705813,4.386282,67.24445,6.4586334,5.3312025,4.43309,5.0695753,3.9889493
5732.6669999999995,0.1162,0.2865,0.0711,1.8248,0.0,0.1945,0.0785,37.5941,0.0103,0.0141,0.7144,37,12,8,16,14,12,4,2,7,2,5,8,271,8,15,3,3,,,,,,,,,,1.7776946,4.7689805,4.3335695,67.267334,6.3974338,5.378031,4.361688,4.68276,4.309957
5733.0,0.1523,1.1218,0.0512,1.8723,0.0,0.3317,0.0954,38.0513,0.0163,0.0141,0.726,55,10,7,5,13,10,4,4,7,3,12,0,310,10,15,0,0,,,,,,,,,,2.0814836,6.2914853,4.4487934,67.41126,6.542361,5.291895,4.468746,5.2965255,3.8299022
5733.3330000000005,0.1888,0.6987,0.1421,1.9545,0.0,0.3603,0.1111,36.5161,0.0134,0.0136,0.7786,41,6,8,7,12,5,5,6,9,3,13,0,304,10,17,0,0,,,,,,,,,,2.0198827,5.5560255,4.3183393,65.6054,6.3615694,5.1828227,4.2847958,4.885336,3.955147
